COUNTRY,YEAR,PC_DEP
ISL,2008,21.2
ISL,2009,20.106
ISL,2010,13.864
ISL,2011,13.39
ISL,2012,13.694
ISL,2013,13.505
ISL,2014,13.955
ISL,2015,16.418
ISL,2016,18.941
ISL,2017,18.37
ISL,2018,19.143
ISL,2019,16.106
ISL,2020,11.966
ITA,1990,84.401
ITA,1991,81.909
ITA,1992,84.041
ITA,1993,80.458
ITA,1994,80.774
ITA,1995,82.027
ITA,1996,81.952
ITA,1997,80.728
ITA,1998,81.836
ITA,1999,82.957
ITA,2000,86.523
ITA,2001,83.244
ITA,2002,85.589
ITA,2003,82.995
ITA,2004,84.36
ITA,2005,83.348
ITA,2006,85.867
ITA,2007,83.002
ITA,2008,82.804
ITA,2009,80.777
ITA,2010,82.571
ITA,2011,81.353
ITA,2012,79.109
ITA,2013,76.736
ITA,2014,75.811
ITA,2015,77.03
ITA,2016,77.653
ITA,2017,76.979
ITA,2018,76.338
ITA,2019,77.484
ITA,2020,73.454
KOS,2000,27.108
KOS,2001,27.121
KOS,2002,27.186
KOS,2003,26.714
KOS,2004,27.143
KOS,2005,28.216
KOS,2006,29.47
KOS,2007,29.034
KOS,2008,27.071
KOS,2009,25.88
KOS,2010,24.605
KOS,2011,27.504
KOS,2012,27.249
KOS,2013,21.847
KOS,2014,27.178
KOS,2015,27.601
KOS,2016,23.609
KOS,2017,29.957
KOS,2018,29.274
KOS,2019,30.534
KOS,2020,29.537
LTU,1990,71.002
LTU,1991,70.477
LTU,1992,59.959
LTU,1993,55.784
LTU,1994,63.725
LTU,1995,61.946
LTU,1996,51.569
LTU,1997,54.418
LTU,1998,49.125
LTU,1999,52.265
LTU,2000,57.776
LTU,2001,45.539
LTU,2002,40.61
LTU,2003,42.663
LTU,2004,45.521
LTU,2005,55.332
LTU,2006,60.351
LTU,2007,59.111
LTU,2008,56.016
LTU,2009,48.55
LTU,2010,79.045
LTU,2011,78.604
LTU,2012,77.534
LTU,2013,75.556
LTU,2014,74.935
LTU,2015,75.452
LTU,2016,74.784
LTU,2017,71.965
LTU,2018,73.897
LTU,2019,75.202
LTU,2020,74.909
LUX,1990,99.499
LUX,1991,98.591
LUX,1992,99.488
LUX,1993,98.329
LUX,1994,98.776
LUX,1995,97.717
LUX,1996,99.379
LUX,1997,98.492
LUX,1998,99.468
LUX,1999,97.089
LUX,2000,99.598
LUX,2001,97.374
LUX,2002,98.61
LUX,2003,98.378
LUX,2004,97.892
LUX,2005,97.376
LUX,2006,98.232
LUX,2007,96.668
LUX,2008,97.446
LUX,2009,97.514
LUX,2010,97.069
LUX,2011,97.293
LUX,2012,97.51
LUX,2013,97.101
LUX,2014,96.63
LUX,2015,95.965
LUX,2016,96.294
LUX,2017,95.581
LUX,2018,95.183
LUX,2019,95.044
LUX,2020,92.458
LVA,1990,88.963
LVA,1991,85.583
LVA,1992,87.508
LVA,1993,71.172
LVA,1994,72.361
LVA,1995,70.534
LVA,1996,73.982
LVA,1997,60.381
LVA,1998,60.793
LVA,1999,55.925
LVA,2000,61.01
